avg_cycle_time,cycle_time_std,cycle_time_trend,throughput,temperature_mean,vibration_mean,utilization,current_cycle_time,high_risk
84.31,3.14,-0.099,26.95,73.28,3.72,0.662,75.0,0
41.09,4.26,-0.159,39.43,58.78,0.8,0.472,41.07,0
73.1,6.71,-0.058,29.24,66.39,3.95,0.665,69.4,0
128.58,24.76,0.119,22.99,65.12,5.85,0.923,126.72,1
135.83,19.72,0.266,24.67,84.37,7.04,0.892,178.7,1
76.06,3.72,0.007,28.63,63.02,2.79,0.629,79.17,0
64.76,4.21,0.07,52.69,66.39,2.45,0.922,65.74,0
75.64,11.23,0.038,32.76,83.15,4.93,0.725,53.76,1
140.89,23.43,0.233,20.29,84.69,4.83,0.91,93.09,1
95.18,13.59,0.121,29.61,80.85,4.57,0.845,105.54,1
60.73,7.1,0.03,41.01,58.4,1.41,0.792,62.37,0
98.84,6.14,0.094,31.04,80.76,2.63,0.825,91.62,1
67.53,14.48,0.052,39.88,89.86,3.83,0.761,69.83,1
53.04,1.35,-0.054,31.01,63.06,1.34,0.463,52.47,0
81.41,10.59,0.144,36.07,72.32,3.7,0.802,85.7,1
69.65,5.87,-0.048,39.14,65.05,2.14,0.746,88.95,0
100.02,12.12,0.194,32.13,79.66,7.57,0.864,121.26,1
58.08,3.55,0.01,24.12,49.03,1.75,0.373,54.43,0
95.14,8.52,0.118,30.88,73.74,3.67,0.792,118.53,1
62.69,4.32,0.038,54.89,73.98,5.07,0.944,64.42,0
73.79,10.02,0.192,37.81,72.94,5.17,0.825,81.26,1
52.46,3.52,0.008,35.42,57.47,1.01,0.549,45.14,0
104.67,16.38,0.243,25.36,76.96,3.57,0.853,76.57,1
101.87,13.36,0.181,25.45,72.72,7.31,0.83,89.16,1
116.94,11.11,0.167,23.62,69.21,5.22,0.769,126.27,1
83.93,11.89,0.234,34.13,76.77,4.45,0.895,64.95,1
107.93,7.03,0.149,23.75,97.77,3.79,0.774,114.05,1
113.69,16.19,0.178,23.78,83.6,10.8,0.793,119.41,1
74.79,5.69,0.001,36.05,62.11,1.78,0.796,74.76,0
109.69,15.03,0.195,20.05,86.22,9.51,0.713,87.15,1
85.32,9.71,-0.038,37.13,80.56,2.03,0.902,59.68,0
50.69,1.21,-0.029,23.08,53.22,1.56,0.351,49.59,0
42.69,4.32,0.007,49.58,56.88,2.28,0.568,34.51,0
53.93,5.4,0.07,42.43,68.35,1.52,0.723,50.99,0
85.55,19.37,0.111,34.93,72.17,9.59,0.855,74.58,1
107.75,6.54,0.026,28.03,90.46,5.45,0.807,103.34,1
89.62,19.09,0.173,27.46,86.71,9.84,0.733,72.34,1
64.57,8.31,0.074,43.96,68.89,5.35,0.922,82.54,1
73.31,5.56,-0.043,45.12,75.59,5.09,0.877,71.52,0
53.09,4.37,-0.087,35.38,56.21,1.33,0.546,58.58,0
77.03,6.63,-0.036,30.37,73.2,3.93,0.726,80.98,0
76.59,4.15,0.002,41.42,78.56,3.73,0.933,71.57,0
49.49,1.88,-0.075,25.28,56.08,1.24,0.353,45.04,0
50.29,4.26,0.014,44.14,57.15,3.01,0.616,58.35,0
86.08,12.9,0.241,36.9,73.23,6.74,0.911,90.57,1
99.86,12.68,0.1,28.96,86.18,2.93,0.859,108.59,1
172.46,22.01,0.245,19.63,82.52,8.87,0.949,155.06,1
122.12,16.9,0.197,27.04,69.55,6.11,0.88,122.28,1
86.18,14.88,0.124,32.61,79.44,6.71,0.908,100.8,1
71.72,5.57,0.037,40.78,65.56,3.99,0.919,88.69,0
77.02,14.23,0.133,36.4,74.12,6.09,0.825,77.95,1
100.72,10.34,0.136,25.6,75.92,8.86,0.791,107.37,1
35.15,1.86,-0.04,47.66,52.76,1.38,0.543,36.03,0
84.24,5.23,-0.011,39.25,68.55,3.17,0.934,79.58,1
90.86,12.99,0.203,27.91,83.35,7.3,0.724,93.02,1
78.97,7.1,-0.076,30.55,73.4,2.81,0.755,86.63,0
76.35,10.6,0.098,37.03,69.18,4.39,0.837,111.37,1
105.28,8.47,0.094,25.98,75.19,3.67,0.76,96.61,0
58.92,7.7,-0.012,41.44,70.61,3.2,0.698,57.53,0
82.34,4.9,0.051,25.64,60.79,3.1,0.657,87.42,0
59.17,4.53,0.022,46.41,68.49,3.52,0.796,49.16,0
40.51,2.87,-0.047,39.53,61.64,2.0,0.446,41.67,0
59.63,2.18,-0.051,31.76,57.85,2.1,0.564,57.01,0
114.22,17.4,0.198,26.4,73.35,6.66,0.819,120.78,1
65.85,4.32,0.001,37.46,68.03,2.55,0.693,64.09,0
73.18,6.62,0.094,40.02,71.48,4.29,0.871,78.24,1
88.05,7.47,-0.008,30.07,56.16,3.15,0.742,76.96,0
155.75,17.55,0.218,18.32,73.28,6.27,0.854,147.2,1
74.13,4.05,-0.025,40.24,66.33,3.73,0.804,72.84,0
84.83,6.41,-0.046,34.09,72.52,4.65,0.887,80.26,1
120.88,15.33,0.155,25.56,74.43,4.35,0.928,129.08,1
72.81,17.63,0.17,33.22,87.88,10.28,0.681,74.62,1
66.21,5.78,-0.054,29.16,71.72,3.71,0.608,69.91,0
69.81,12.48,0.122,41.3,85.08,6.97,0.832,84.56,1
90.47,8.72,-0.028,33.25,79.58,3.11,0.894,85.48,1
60.06,5.4,-0.037,51.77,76.78,2.75,0.833,64.56,0
47.91,2.84,-0.093,40.33,55.69,0.84,0.523,43.48,0
48.23,3.59,-0.125,38.35,59.39,1.84,0.55,45.19,0
108.29,7.74,0.112,21.76,93.92,2.67,0.762,107.95,1
73.65,7.65,0.055,40.13,68.15,5.35,0.848,86.84,1
75.6,8.81,0.029,41.55,68.51,3.39,0.854,63.06,0
92.26,8.83,0.036,31.14,92.93,4.88,0.816,98.94,1
87.51,13.75,0.158,29.65,81.79,9.43,0.818,79.42,1
86.79,6.8,-0.0,27.96,57.22,3.72,0.655,80.06,0
75.53,15.97,0.156,38.6,80.56,5.96,0.805,74.47,1
42.98,2.32,-0.08,35.14,55.55,1.3,0.421,39.97,0
93.19,15.5,0.086,25.99,70.38,7.04,0.745,97.78,1
109.92,6.01,0.151,24.43,92.72,4.75,0.724,108.22,1
135.13,19.42,0.164,24.5,97.32,10.75,0.925,162.15,1
46.24,1.6,-0.012,31.77,48.91,0.84,0.42,46.15,0
50.18,2.04,-0.035,39.22,63.65,1.71,0.543,47.47,0
62.41,5.39,-0.097,33.6,64.48,1.5,0.665,66.06,0
68.53,6.65,0.05,33.62,64.49,2.28,0.72,72.53,0
68.6,6.95,0.027,31.53,65.21,2.44,0.643,65.34,0
137.13,24.77,0.246,22.02,65.59,3.56,0.967,130.05,1
75.68,5.5,0.063,36.32,58.27,3.59,0.807,66.06,0
68.13,6.92,-0.083,44.01,68.42,3.65,0.794,58.94,0
69.16,11.21,0.068,43.47,75.34,11.38,0.843,71.05,1
66.94,6.86,0.02,47.2,74.11,2.11,0.889,79.42,0
104.84,10.0,0.058,25.41,87.6,8.73,0.821,105.23,1
38.92,2.15,-0.114,36.28,59.14,1.12,0.456,39.2,0
79.93,9.79,0.026,37.02,68.29,4.43,0.859,76.27,0
50.1,4.02,-0.035,24.07,61.64,1.61,0.361,60.38,0
38.74,2.67,-0.113,35.88,49.55,0.9,0.438,38.91,0
128.66,23.63,0.137,21.76,71.23,6.15,0.904,114.98,1
59.82,3.28,-0.152,25.39,50.85,0.84,0.418,54.39,0
79.83,7.79,-0.0,39.68,69.38,3.08,0.898,83.1,0
94.09,4.72,0.085,30.59,70.93,4.14,0.831,89.85,1
53.86,6.99,0.075,44.36,72.9,2.76,0.64,59.51,0
112.99,23.48,0.221,27.78,68.81,6.27,0.898,101.94,1
44.01,2.78,-0.015,32.98,49.52,2.33,0.435,39.93,0
105.38,7.18,0.122,27.9,82.56,5.4,0.876,102.8,1
159.61,20.21,0.254,17.47,80.42,11.55,0.908,155.11,1
89.61,16.22,0.115,35.41,76.46,4.96,0.897,99.45,1
127.07,16.51,0.232,25.5,69.02,6.23,0.89,199.25,1
52.4,3.04,-0.097,42.25,50.51,1.73,0.599,49.35,0
87.49,9.29,0.0,35.02,79.47,3.38,0.858,92.37,1
71.96,4.34,-0.011,36.12,55.24,2.98,0.753,68.6,0
74.91,12.53,0.069,37.6,89.54,4.87,0.755,71.78,0
133.01,25.62,0.217,24.81,86.12,11.05,0.958,105.42,1
87.74,3.39,-0.007,32.94,67.0,1.26,0.769,83.38,0
86.85,10.42,0.143,29.98,89.04,4.37,0.779,79.3,1
86.58,7.26,-0.018,22.43,73.02,1.55,0.6,83.42,0
110.14,13.8,0.243,26.19,76.26,7.41,0.789,109.22,1
89.14,5.13,0.065,34.09,74.02,4.13,0.869,95.93,1
133.08,21.4,0.25,23.05,85.95,7.6,0.913,170.07,1
119.34,10.85,0.17,24.51,68.23,7.1,0.876,117.12,1
63.82,7.24,-0.098,42.04,57.63,3.51,0.741,54.37,0
47.5,1.85,-0.053,30.91,51.23,1.79,0.389,46.92,0
71.54,7.99,-0.001,30.3,73.19,1.86,0.692,80.23,0
75.36,3.48,-0.033,29.61,65.95,3.98,0.693,70.73,0
74.3,6.64,-0.013,28.02,67.42,2.71,0.654,71.47,0
130.28,17.66,0.277,26.46,79.69,6.56,0.96,170.48,1
99.16,9.75,0.138,27.82,72.44,4.87,0.804,98.52,1
94.19,8.45,0.075,31.07,72.07,3.21,0.944,88.52,1
58.72,2.68,-0.017,27.07,53.08,1.73,0.421,62.89,0
135.88,24.17,0.242,22.44,73.72,4.55,0.953,116.07,1
76.03,14.89,0.031,41.81,87.69,3.97,0.869,95.04,1
37.27,2.42,0.01,43.71,60.83,2.04,0.525,37.35,0
81.57,9.11,0.145,26.76,92.57,2.5,0.703,68.69,0
76.33,9.05,-0.028,40.32,76.53,2.8,0.898,76.05,0
38.93,3.51,-0.062,28.94,49.54,0.9,0.357,41.42,0
70.38,6.72,0.006,46.17,75.41,5.07,0.945,69.86,1
92.88,5.16,-0.036,29.44,71.61,3.07,0.866,86.72,0
60.03,6.41,-0.031,39.88,65.73,2.74,0.739,56.08,0
131.59,19.44,0.133,22.22,69.39,3.28,0.883,134.7,1
113.84,11.6,0.128,26.19,81.67,11.25,0.811,124.51,1
104.92,11.24,0.176,22.88,89.03,5.92,0.72,90.4,1
89.58,4.18,0.054,32.69,71.51,2.07,0.951,92.26,0
64.27,4.33,0.071,52.6,67.05,3.06,0.933,68.59,1
88.64,14.57,0.097,31.54,90.16,5.8,0.835,78.02,1
94.11,6.99,0.003,31.06,67.26,2.02,0.896,84.78,0
50.13,3.85,-0.015,36.13,55.01,2.01,0.582,43.19,0
71.48,7.89,0.004,39.12,72.01,2.59,0.898,69.13,0
72.99,7.75,0.155,41.93,76.12,8.44,0.839,72.43,1
80.04,7.88,0.04,37.14,65.96,3.5,0.92,78.13,1
53.98,4.49,-0.124,22.8,52.31,0.8,0.374,53.93,0
81.97,9.86,0.078,27.06,73.47,10.31,0.715,83.96,1
89.9,5.61,-0.002,24.89,68.81,2.52,0.679,91.83,0
61.64,5.18,-0.037,35.74,58.72,1.73,0.619,59.89,0
66.26,6.91,0.028,34.08,66.26,3.28,0.642,79.2,0
52.27,6.66,-0.051,47.29,59.85,3.55,0.726,56.23,0
95.36,17.32,0.202,30.38,72.68,10.77,0.826,114.38,1
69.95,5.44,0.027,44.78,72.6,4.22,0.925,71.71,0
74.42,7.11,-0.068,33.32,70.75,2.45,0.753,63.29,0
126.8,18.48,0.226,26.82,72.85,5.65,0.95,100.69,1
124.85,13.26,0.261,27.42,77.96,3.24,0.938,148.43,1
158.73,24.44,0.254,19.7,82.71,3.3,0.851,170.24,1
61.21,6.05,-0.093,45.88,57.23,2.35,0.77,55.7,0
86.94,9.81,0.048,31.55,71.04,5.42,0.851,86.66,0
155.27,20.61,0.265,21.71,86.48,10.17,0.975,136.71,1
89.62,9.0,0.188,24.35,71.7,8.21,0.694,83.25,1
46.89,2.6,-0.036,46.84,60.81,0.94,0.588,44.4,0
45.54,2.12,-0.001,34.56,57.84,1.06,0.433,39.44,0
90.97,5.78,0.052,35.07,74.56,4.1,0.919,93.68,1
133.49,17.7,0.255,19.72,70.03,3.49,0.853,126.01,1
71.03,9.93,-0.009,48.44,67.01,4.11,0.913,80.2,0
99.9,7.53,-0.004,30.99,79.36,2.6,0.914,95.59,0
42.98,2.13,-0.008,34.1,53.76,1.75,0.455,43.12,0
83.42,7.95,0.029,31.13,95.07,5.48,0.804,69.09,1
92.98,18.13,0.119,30.25,86.25,7.54,0.866,84.75,1
86.31,7.66,-0.091,29.75,66.28,2.29,0.731,79.78,0
112.11,9.21,0.07,20.64,76.55,8.19,0.687,131.51,1
147.65,19.63,0.274,24.09,84.42,8.51,0.973,153.62,1
53.18,4.63,-0.019,43.45,58.6,2.39,0.641,54.19,0
73.11,5.23,-0.008,37.77,68.01,5.37,0.88,82.99,0
89.42,7.21,-0.024,28.18,68.43,1.8,0.763,108.46,0
89.86,13.15,0.125,32.1,77.82,9.21,0.78,95.75,1
101.64,15.23,0.182,31.96,77.83,3.61,0.859,103.57,1
75.26,8.97,0.215,35.46,81.62,4.59,0.822,75.1,1
73.82,15.01,0.189,32.82,76.83,11.37,0.77,31.28,1
53.93,4.34,-0.095,50.52,67.16,3.48,0.793,50.07,0
139.98,21.11,0.263,23.09,71.62,5.84,0.862,139.29,1
97.84,6.6,-0.021,34.11,66.78,4.55,0.951,95.93,1
53.51,4.69,-0.073,51.54,64.54,1.21,0.733,44.87,0
75.01,6.59,0.18,35.64,88.49,5.55,0.759,72.34,1
80.28,18.68,0.177,30.89,81.59,11.11,0.726,69.48,1
59.78,5.98,-0.05,48.34,63.11,2.48,0.811,60.97,0
136.21,16.97,0.114,22.71,82.35,5.74,0.928,142.51,1
157.09,17.05,0.231,17.94,75.05,6.35,0.903,156.96,1
71.21,4.07,-0.039,34.0,55.54,2.86,0.742,66.18,0
163.11,24.04,0.296,21.23,85.38,7.13,0.98,180.9,1
50.07,1.11,-0.155,31.4,63.5,2.32,0.496,46.33,0
68.77,6.77,0.042,38.51,56.92,2.27,0.71,68.65,0
59.18,4.6,0.034,44.13,73.24,2.29,0.761,64.18,0
148.47,22.81,0.124,19.92,73.66,3.09,0.953,149.32,1
95.51,8.72,0.159,28.36,82.35,4.9,0.847,118.37,1
84.91,5.28,0.046,32.42,63.29,2.6,0.772,78.42,0
61.25,9.34,0.065,51.9,81.68,2.63,0.855,75.18,0
92.82,15.36,0.106,28.07,69.7,6.96,0.796,81.1,1
52.36,4.28,0.0,25.82,63.18,0.97,0.377,52.14,0
131.0,23.94,0.165,26.64,74.19,6.86,0.972,90.49,1
105.61,8.36,0.15,24.04,75.36,9.62,0.709,108.99,1
82.61,4.47,0.025,38.7,65.9,4.66,0.92,80.1,0
167.5,18.05,0.275,19.62,87.67,7.96,0.89,180.79,1
86.55,9.65,0.093,36.15,65.1,3.26,0.912,77.0,1
152.46,23.45,0.294,23.46,82.07,8.28,0.977,142.75,1
97.88,11.72,0.096,24.06,96.22,4.87,0.74,111.05,1
105.24,15.41,0.231,26.15,84.81,4.11,0.788,92.57,1
69.0,7.45,0.016,32.38,57.57,1.22,0.709,85.54,0
157.81,21.93,0.274,19.62,78.6,3.18,0.855,142.41,1
82.72,5.68,0.049,36.81,76.99,5.47,0.912,82.11,0
68.61,7.02,0.004,28.21,71.86,1.34,0.608,55.18,0
38.16,3.63,-0.135,30.58,55.11,1.19,0.355,33.84,0
92.26,14.69,0.185,31.67,76.8,5.39,0.909,85.76,1
79.65,6.53,0.049,38.69,81.09,2.59,0.948,83.84,1
101.52,10.18,0.092,28.87,91.63,5.9,0.842,131.84,1
150.43,19.96,0.216,23.09,77.37,4.52,0.976,110.41,1
51.49,1.06,-0.087,35.22,56.48,2.08,0.536,49.57,0
89.38,8.49,0.059,33.8,88.03,4.71,0.834,81.82,1
80.44,4.88,0.002,28.74,72.42,3.66,0.699,86.11,0
142.84,16.31,0.22,23.66,78.04,3.63,0.972,108.33,1
89.8,18.32,0.11,30.46,80.78,9.12,0.765,93.64,1
64.87,5.89,0.049,45.8,70.25,4.46,0.842,62.02,0
69.1,10.77,0.044,41.0,89.35,2.88,0.75,76.06,0
83.19,7.97,-0.023,32.43,74.15,1.68,0.792,77.37,1
62.4,7.72,0.037,49.51,78.56,2.13,0.849,63.45,0
64.33,10.27,0.173,35.42,79.2,11.08,0.736,66.57,1
92.44,4.39,-0.031,33.54,81.9,2.63,0.837,98.46,0
65.71,3.81,-0.022,37.33,70.62,1.85,0.77,67.97,0
96.82,4.26,0.06,27.95,79.24,5.17,0.826,97.84,1
76.42,12.42,0.163,33.29,76.43,10.41,0.722,67.8,1
63.05,6.32,0.038,42.14,59.79,1.2,0.73,67.99,0
53.06,5.93,0.048,47.23,58.96,2.85,0.686,60.42,0
67.2,10.97,0.123,38.51,92.4,4.71,0.82,77.6,1
60.97,15.25,0.163,38.77,80.77,9.17,0.728,39.63,1
46.57,4.64,-0.095,33.98,48.6,0.75,0.507,41.11,0
59.1,6.74,-0.069,38.54,63.62,2.13,0.654,67.36,0
43.45,2.57,-0.007,45.62,62.07,2.24,0.571,45.72,0
81.42,5.76,-0.08,30.55,70.21,3.5,0.778,93.67,0
70.86,5.77,0.026,38.47,71.55,2.64,0.839,76.71,1
66.03,10.66,0.026,39.59,93.28,5.07,0.717,72.26,1
86.34,13.6,0.047,28.01,84.15,5.29,0.75,93.41,0
73.85,8.45,0.098,32.61,79.85,5.75,0.75,65.14,1
59.32,7.05,-0.01,47.75,64.06,1.87,0.754,50.18,0
82.33,11.28,0.086,34.88,85.86,7.5,0.867,86.61,1
90.49,5.25,0.039,36.2,76.12,4.47,0.918,90.69,1
169.54,15.31,0.193,19.16,92.37,7.48,0.885,178.48,1
102.33,8.29,0.202,32.22,79.24,3.62,0.897,98.96,1
43.22,2.92,-0.007,29.43,49.72,2.24,0.413,48.07,0
105.99,8.06,0.101,25.53,96.44,5.12,0.726,98.63,1
62.33,5.43,0.009,48.39,62.68,3.17,0.804,66.2,0
71.86,13.63,0.087,36.28,86.7,3.67,0.846,90.88,1
36.67,2.56,-0.046,33.03,56.31,1.44,0.377,36.71,0
62.01,7.84,-0.048,37.37,65.72,3.08,0.647,73.83,0
155.24,19.83,0.109,18.04,66.48,5.99,0.902,144.89,1
57.43,5.08,-0.017,39.93,64.27,3.2,0.689,45.82,0
79.45,14.98,0.133,35.07,80.09,10.52,0.825,90.19,1
69.64,6.35,-0.06,33.19,67.5,1.28,0.685,71.62,0
113.85,10.81,0.166,21.01,72.09,6.6,0.76,118.32,1
76.6,14.44,0.152,35.18,95.83,5.12,0.856,30.9,1
72.45,9.0,0.02,42.3,69.67,2.8,0.828,81.86,0
75.9,5.8,-0.009,36.57,70.1,2.75,0.743,79.23,0
66.18,7.3,0.064,38.32,71.62,2.34,0.799,69.18,0
43.35,4.07,-0.133,40.44,57.61,1.75,0.47,46.19,0
73.28,7.17,-0.053,31.25,73.53,3.14,0.646,77.7,0
86.03,8.77,0.109,29.02,89.28,4.09,0.724,92.61,1
142.61,23.49,0.2,22.71,66.4,3.53,0.932,150.09,1
129.79,22.38,0.198,24.86,84.45,3.59,0.965,100.13,1
74.69,17.58,0.217,38.54,79.43,8.71,0.835,101.41,1
85.46,13.54,0.085,37.71,83.58,9.9,0.861,80.1,1
102.18,14.98,0.113,24.02,94.49,2.76,0.712,100.41,1
61.1,7.58,-0.019,48.85,60.98,2.28,0.798,63.93,0
129.43,22.06,0.123,21.74,78.98,4.63,0.907,96.34,1
96.73,10.03,0.022,29.64,96.72,2.89,0.823,93.63,1
71.13,12.64,0.215,36.05,82.22,6.13,0.777,77.8,1
47.9,4.86,-0.137,30.65,58.62,0.86,0.475,42.77,0
65.36,5.94,0.009,47.12,71.73,3.74,0.952,65.13,0
60.01,9.4,-0.038,60.15,67.22,4.12,0.955,56.7,0
149.02,12.42,0.224,21.44,69.73,3.64,0.86,137.46,1
67.22,4.24,0.038,46.5,71.9,2.42,0.868,59.5,0
56.86,5.97,0.04,41.76,55.52,1.8,0.669,66.59,0
174.51,15.19,0.196,18.92,86.01,8.95,0.887,200.84,1
47.84,1.16,0.009,24.16,58.16,2.27,0.371,47.45,0
82.16,8.95,0.098,40.02,69.73,4.45,0.921,92.61,1
37.18,1.43,-0.052,59.12,55.92,2.43,0.588,36.92,0
105.63,14.1,0.164,25.81,93.12,2.59,0.864,87.63,1
149.67,18.35,0.126,21.08,71.77,5.8,0.965,176.32,1
70.0,7.08,-0.072,43.3,56.4,2.7,0.815,72.33,0
112.1,18.31,0.243,30.65,68.76,4.95,0.923,101.53,1
74.69,6.61,-0.039,28.01,60.11,2.69,0.641,88.3,0
146.72,14.14,0.235,22.52,65.24,3.24,0.937,157.64,1
81.1,8.9,0.058,30.19,87.24,10.14,0.712,83.92,1
99.91,10.67,0.15,22.81,77.28,6.67,0.709,110.3,1
36.87,2.55,-0.011,41.31,62.14,1.85,0.444,37.02,0
132.44,24.64,0.243,25.86,84.57,9.07,0.929,135.06,1
102.65,14.41,0.069,24.97,82.3,5.8,0.777,118.2,1
71.06,5.83,-0.068,32.39,73.36,2.76,0.71,68.35,0
61.71,11.37,0.147,40.43,80.98,9.12,0.689,33.49,1
88.62,3.8,-0.003,23.64,65.55,2.75,0.671,90.24,0
143.06,20.25,0.239,19.03,70.95,5.6,0.862,137.7,1
43.37,4.39,-0.025,40.47,62.8,1.95,0.511,43.75,0
109.09,11.95,0.116,21.98,96.44,3.53,0.782,109.01,1
72.76,8.96,0.048,39.76,78.41,3.76,0.844,72.32,1
44.05,4.46,-0.116,29.96,53.15,1.96,0.374,41.2,0
76.43,6.38,-0.034,35.71,74.56,1.78,0.785,75.15,0
35.13,3.85,-0.097,35.6,60.79,2.14,0.398,32.7,0
85.04,8.76,0.032,37.1,78.6,3.85,0.901,82.61,1
70.65,7.4,-0.058,31.26,57.56,3.49,0.658,71.34,0
75.41,13.38,0.219,40.21,73.99,4.86,0.814,40.33,1
51.95,5.23,-0.052,51.42,56.92,2.35,0.797,49.46,0
75.8,3.67,0.072,31.87,67.53,2.41,0.73,78.61,0
74.57,11.04,0.173,38.65,96.13,3.02,0.772,61.77,1
46.57,3.87,-0.036,33.09,56.89,0.66,0.47,38.76,0
127.3,19.26,0.2,26.75,79.34,3.94,0.942,138.03,1
136.36,17.68,0.224,23.0,69.47,5.47,0.855,130.15,1
82.15,7.59,0.103,34.49,88.72,5.57,0.824,100.95,1
80.99,17.76,0.134,37.65,68.32,7.04,0.841,73.89,1
119.77,24.13,0.157,29.2,81.38,5.96,0.94,106.46,1
75.45,6.67,-0.004,27.38,71.83,3.89,0.616,67.99,0
40.62,1.08,-0.133,44.7,63.5,0.78,0.525,36.57,0
72.8,6.58,0.051,30.88,69.96,2.04,0.7,81.31,0
70.3,11.67,0.056,32.62,81.74,9.74,0.737,79.23,1
42.96,2.67,-0.037,25.85,52.7,0.87,0.352,36.75,0
117.95,11.77,0.17,27.14,68.81,4.46,0.875,116.53,1
146.87,25.6,0.194,18.83,84.89,8.86,0.893,180.59,1
133.93,21.62,0.192,19.9,73.8,5.84,0.859,133.49,1
67.8,9.61,0.037,40.03,76.98,3.31,0.86,62.05,0
40.93,3.57,-0.17,36.29,51.54,0.98,0.418,39.89,0
95.52,18.91,0.06,25.11,77.46,8.36,0.713,115.49,1
80.32,9.5,0.167,40.33,74.66,3.67,0.908,72.27,1
43.11,3.9,-0.016,36.31,53.48,1.19,0.497,38.96,0
58.33,3.55,-0.175,32.26,55.6,2.45,0.516,57.14,0
134.28,14.43,0.226,24.13,65.61,5.59,0.921,124.86,1
71.48,8.49,0.114,31.91,95.64,2.6,0.728,74.52,1
94.11,12.25,0.099,27.63,71.23,7.9,0.842,81.09,1
110.69,16.59,0.135,28.95,81.42,3.65,0.885,89.82,1
97.33,12.44,0.102,33.94,77.68,7.02,0.904,117.2,1
63.19,5.24,-0.028,46.45,79.66,3.85,0.936,64.25,1
97.17,5.2,-0.048,30.44,65.52,4.9,0.866,94.33,0
75.67,5.06,-0.038,28.47,70.41,3.15,0.649,75.95,0
80.58,6.61,0.074,40.35,71.54,2.56,0.891,77.3,0
91.69,8.2,0.16,29.14,84.6,11.09,0.765,110.29,1
94.84,13.94,0.233,30.18,69.67,6.26,0.784,105.66,1
152.52,20.34,0.25,19.68,66.75,6.05,0.941,143.88,1
72.58,5.93,-0.025,42.87,65.33,3.66,0.861,62.14,0
113.11,16.2,0.151,27.41,72.89,3.72,0.874,138.09,1
100.81,9.57,0.225,27.83,81.73,6.6,0.857,111.7,1
73.73,9.77,0.096,39.58,75.81,7.13,0.791,90.72,1
70.81,13.01,0.166,38.73,93.29,3.02,0.771,56.66,1
50.86,3.75,0.028,52.75,67.82,2.54,0.757,52.27,0
87.79,7.44,-0.032,33.64,78.94,4.81,0.843,89.41,0
45.97,1.1,-0.115,31.07,56.26,2.37,0.455,40.66,0
89.6,7.31,-0.021,31.66,65.28,1.67,0.82,92.03,0
69.05,7.82,0.091,41.89,69.64,3.04,0.93,66.08,1
87.48,12.08,0.14,25.51,87.44,3.51,0.712,86.39,1
146.31,19.19,0.245,21.14,88.64,10.58,0.977,150.29,1
85.48,13.52,0.248,36.32,74.47,5.8,0.885,89.93,1
102.02,12.36,0.111,26.19,93.93,2.97,0.834,116.73,1
76.37,9.88,-0.018,37.56,71.43,5.26,0.878,81.39,1
93.54,9.87,0.169,35.59,73.17,6.74,0.896,97.66,1
41.38,1.7,-0.06,47.25,54.71,0.67,0.526,39.97,0
79.23,4.36,-0.011,26.26,61.79,2.66,0.606,82.38,0
61.95,5.9,-0.051,37.68,59.15,2.97,0.694,56.14,0
60.64,4.17,0.021,49.24,74.95,3.43,0.846,61.26,0
54.68,4.01,0.004,24.67,62.06,2.32,0.404,57.78,0
42.85,4.81,-0.054,33.11,61.46,1.18,0.445,54.79,0
83.03,5.29,0.047,26.87,66.51,1.78,0.668,93.48,0
168.59,18.02,0.272,19.44,80.66,7.53,0.911,191.74,1
77.97,4.73,-0.015,28.2,73.95,2.1,0.689,70.51,0
74.62,8.02,0.055,43.1,79.99,3.01,0.949,78.66,1
63.49,5.22,0.062,38.9,64.61,3.73,0.679,65.86,0
82.17,11.25,0.14,37.55,84.98,6.6,0.905,106.35,1
74.27,5.4,0.07,29.12,69.24,2.35,0.605,67.12,0
77.01,3.05,-0.049,26.93,58.34,3.24,0.642,70.04,0
83.21,8.32,-0.0,38.82,79.02,2.33,0.904,81.57,0
43.08,1.49,-0.071,29.55,61.96,0.68,0.407,46.2,0
53.25,2.04,-0.012,37.98,56.48,2.05,0.588,54.48,0
52.78,4.63,-0.084,50.57,59.58,2.98,0.818,44.71,0
54.63,1.44,-0.001,32.91,59.54,0.73,0.56,55.67,0
56.48,1.49,-0.149,29.9,52.66,1.02,0.486,51.76,0
71.39,4.94,0.032,29.23,67.41,2.42,0.623,69.98,0
72.78,7.4,0.194,35.5,82.26,11.24,0.745,63.29,1
116.7,14.82,0.193,23.0,82.37,6.35,0.822,108.67,1
83.98,6.58,-0.049,36.69,67.09,3.78,0.933,80.61,0
89.88,5.04,-0.067,25.32,59.73,1.5,0.735,75.73,0
111.14,17.61,0.177,29.25,80.68,3.52,0.874,106.38,1
88.52,4.54,-0.019,23.62,69.57,2.56,0.663,88.54,0
37.61,3.9,-0.133,33.34,56.49,2.13,0.384,38.59,0
77.39,14.17,0.242,36.49,69.05,4.78,0.893,73.39,1
58.73,4.94,-0.133,28.15,62.31,1.04,0.517,55.9,0
85.98,7.51,-0.077,26.26,63.16,3.39,0.645,82.98,0
80.55,7.55,-0.036,37.81,81.87,2.31,0.887,83.09,0
138.69,19.51,0.253,23.56,75.33,3.04,0.901,100.75,1
70.38,8.9,-0.01,38.41,67.63,5.45,0.822,69.73,0
